new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,1,0,1,0,70,1,2,56662.69728200562
5,0,0,1,0,70,32,0,56588.45838322566
3,0,1,1,0,20,2048,8,56507.75510736299
4,1,0,0,0,80,2048,10,56421.276166977455
2,0,1,1,1,60,4,8,56329.734268816006
4,1,0,1,0,80,32,6,56233.86377250193
3,0,0,1,1,70,8,10,56134.41826890771
5,1,0,1,0,80,1024,6,56032.168085756566
4,0,1,0,1,80,1,8,55927.89772827643
4,1,0,0,1,20,32,0,55822.403262984364
4,1,1,1,0,20,64,6,55716.48965290566
2,1,1,0,0,40,32,4,55610.96805273124
2,1,0,0,1,20,1,2,55506.65307258816
5,0,1,1,0,60,1,4,55404.36001924016
2,1,0,1,0,10,8,6,55304.90212364679
4,0,1,0,1,100,32,4,55209.08776389354
2,0,0,1,0,80,4096,0,55117.71769255541
5,1,0,1,1,50,2,10,55031.58227757984
3,1,1,0,0,70,512,6,54951.45876576298
5,1,1,1,1,80,8,6,54878.10857785494
4,1,1,1,0,30,4,6,54812.27464425676
2,0,0,1,1,50,4,2,54754.67879017067
3,1,1,1,0,80,64,8,54706.01917893279
4,0,0,0,1,10,4096,2,54666.96782209422
4,1,0,1,1,50,2,4,54638.16816462586
3,0,0,1,1,90,1,2,54620.23275340036
1,0,0,0,0,80,128,4,54613.74099685598
2,1,0,0,1,0,32,2,54619.23702347056
3,0,1,1,1,100,16,2,54637.22764637115
3,0,0,0,0,90,4,8,54668.18044107564
4,1,0,1,1,70,2048,0,54712.52194301027
3,0,1,0,0,40,64,0,54770.63597107073
2,0,1,0,0,70,4096,2,54842.86208309537
3,0,0,1,1,20,1024,8,54929.4941687015
2,1,0,1,0,40,2048,4,55030.77918449601
2,1,1,1,0,20,512,4,55146.91603621647
1,0,1,1,1,80,1024,8,55278.05461188619
5,0,0,1,0,0,2048,2,55424.29496957913
5,1,1,1,0,60,8,8,55585.68668289168
2,0,0,1,1,70,512,8,55762.228346705495
5,1,0,1,0,70,16,10,55953.867245305766
2,0,1,1,0,40,256,8,56160.49918438961
2,1,1,1,0,60,128,2,56381.96848796488
2,0,0,1,1,30,4,2,56618.06816060051
5,0,1,1,0,0,128,2,56868.540214947774
1,1,0,1,0,80,4096,8,57133.076163910744
3,0,1,1,1,70,1024,10,57411.317676302184
1,1,1,1,1,40,512,2,57702.857394285355
3,1,0,0,1,0,4096,4,58007.239910368415
5,1,1,1,0,80,1,0,58323.96290119302
1,0,1,0,0,40,4096,6,58652.47841484229
2,1,0,1,0,0,1,6,58992.19430788534
1,1,0,1,0,50,16,10,59342.47582788285
3,0,1,0,1,70,16,8,59702.647336596
3,1,1,0,1,90,8,0,60071.99416867691
4,1,1,0,0,10,2,8,60449.76462016976
2,1,0,0,1,70,1,0,60835.172060722936
5,0,0,1,0,0,128,0,61227.3971630025
5,1,1,0,0,60,2048,10,61625.59024240886
3,1,0,1,0,80,1,6,62028.87369983386
4,1,1,0,1,0,1,10,62436.34455985317
1,1,0,0,0,70,1,10,62847.077096433255
4,0,1,1,1,100,512,4,63260.12553794135
2,0,1,1,1,10,4,4,63674.52684298447
1,1,0,1,0,70,512,0,64089.3035383683
3,1,0,0,1,90,128,0,64503.466610260555
3,0,0,1,0,0,64,8,64916.01843946709
5,0,0,0,0,40,128,10,65325.95577158247
1,0,1,1,1,60,32,6,65732.27271266094
1,0,1,0,0,10,1,2,66133.96374096829
3,1,0,0,0,20,512,4,66530.02672532227
5,0,1,1,1,30,16,2,66919.46594050608
2,0,0,0,0,40,1024,6,67301.29507024896
3,0,0,1,0,40,256,2,67674.5401883084
2,0,0,0,1,10,32,0,68038.24270825957
4,0,0,1,0,40,32,6,68391.46229270157
4,0,0,0,1,60,128,0,68733.27971272121
3,0,1,1,1,90,4,8,69062.79964862014
