new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
2,1,0,0,1,100,64,2,4658.2
2,1,0,1,1,90,16,2,17674.2
3,0,1,0,0,90,32,0,12135.8
2,1,0,1,0,80,32,2,17681.4
2,1,0,1,1,80,16,0,17661.8
1,1,0,0,1,100,32,0,17759.8
3,1,0,0,1,80,16,2,12209.6
2,1,1,1,0,100,16,2,17674.8
1,0,0,1,1,100,16,0,17657.6
1,0,0,0,0,100,32,0,17729.8
3,1,1,1,1,100,32,2,12120.4
2,0,0,0,1,90,16,0,4958.0
2,1,0,0,0,90,16,0,4952.4
1,1,0,0,0,90,64,2,17845.2
3,1,0,0,0,80,32,0,12363.4
1,1,0,0,0,100,16,0,17781.6
3,1,0,1,1,80,16,0,12353.6
1,1,0,1,0,80,32,2,17810.0
3,0,0,1,1,100,64,2,12115.4
2,0,1,0,0,100,64,0,4647.4
3,0,1,0,0,80,16,0,12226.4
2,1,1,1,1,100,16,2,17631.8
1,0,0,1,1,80,16,2,17754.6
1,1,1,0,1,80,64,2,17698.8
3,1,1,0,0,100,64,2,12227.6
2,0,1,1,0,80,64,0,17783.0
3,1,1,0,0,90,16,2,12248.2
3,0,1,1,0,80,64,2,12201.6
3,0,0,0,1,90,32,0,12230.0
3,1,1,0,0,80,64,2,12145.8
2,0,0,0,1,100,64,0,4651.0
1,1,1,0,1,90,32,2,17684.4
2,0,1,0,0,90,16,0,5049.4
1,1,1,0,1,80,16,0,17680.2
2,1,1,0,0,80,16,2,4986.0
1,0,0,1,0,80,16,2,17680.6
3,0,1,0,0,80,64,2,12105.2
1,1,1,0,0,90,16,0,17744.6
3,0,0,0,1,100,16,0,12226.0
2,0,0,1,1,80,32,0,17726.6
1,0,0,1,1,90,32,0,17712.6
2,0,1,0,1,90,32,2,4691.2
3,0,1,0,1,90,32,2,12127.6
2,0,1,0,0,90,64,2,4648.0
1,0,1,0,0,80,64,2,17693.6
1,1,0,0,1,100,16,2,17693.4
3,1,1,0,0,80,32,2,12254.6
2,1,1,0,0,80,32,0,4700.6
3,0,0,1,0,100,32,2,12138.8
1,1,0,0,0,80,64,0,17792.6
2,1,1,0,0,100,64,0,4666.8
2,1,1,0,1,100,64,0,4647.6
1,1,0,0,0,90,16,2,17810.8
3,0,1,1,0,100,64,0,12303.4
3,0,1,1,0,80,32,0,12261.0
2,1,1,0,0,100,16,0,4893.0
1,1,1,1,0,90,64,0,17639.8
3,1,1,0,1,90,32,0,12247.8
2,0,1,1,0,100,64,2,17691.6
3,0,0,1,0,80,64,0,12090.8
1,1,0,1,1,100,16,0,17736.2
2,1,1,1,1,90,16,2,17587.4
1,0,1,0,0,80,64,0,17771.6
1,0,1,0,0,90,32,2,17787.4
1,0,0,0,1,100,32,2,17776.6
1,0,0,1,0,90,64,0,17832.0
1,1,0,1,0,100,16,2,17690.2
2,0,1,1,0,100,32,0,17671.6
2,1,0,0,1,100,16,2,4915.8
2,1,0,1,1,80,64,2,17723.2
2,0,1,1,1,100,64,0,17626.0
3,0,1,0,0,90,16,0,12126.8
1,1,0,0,0,90,16,0,17751.0
1,1,0,1,1,90,64,2,17819.8
3,0,0,0,1,100,64,0,12245.4
3,0,1,0,0,100,16,2,12245.6
1,0,0,0,0,90,16,0,17664.4
2,0,0,1,1,80,64,0,17650.4
3,1,0,0,1,100,64,0,12386.8
1,0,1,1,0,100,16,0,17730.8
2,1,1,1,0,100,32,0,17638.2
2,1,1,0,0,90,16,0,4959.0
3,0,0,0,1,80,16,0,12268.4
3,1,0,0,1,80,32,0,12165.8
2,1,0,1,0,90,16,2,17668.4
2,0,1,0,0,80,64,0,4706.4
3,0,1,1,0,90,32,2,12275.8
1,0,0,0,0,80,32,0,17680.8
2,0,0,0,1,80,32,2,4733.4
3,0,0,0,0,80,32,0,12145.4
3,1,0,1,0,90,64,0,12212.8
2,0,0,1,0,100,16,2,17636.4
1,1,1,1,0,100,16,0,17759.4
3,0,0,0,1,90,64,0,12318.8
1,0,1,0,0,90,16,0,17802.4
1,1,0,0,1,90,32,0,17756.6
3,0,0,1,0,90,64,0,12135.0
2,0,1,1,1,100,32,2,17630.2
3,1,1,0,0,90,32,2,12142.6
1,1,1,1,1,90,32,2,17657.0
2,1,0,0,1,80,16,2,5023.2
1,0,1,0,1,90,16,2,17675.6
2,1,0,1,0,100,64,0,17657.8
3,0,0,1,1,90,16,0,12279.6
2,1,0,0,0,90,64,2,4704.6
2,0,1,0,0,100,16,2,4924.4
3,1,0,1,0,100,16,0,12259.8
3,0,0,0,1,90,64,2,12042.2
3,0,1,0,1,90,64,2,12098.8
2,1,0,0,1,80,32,2,4718.8
2,1,0,1,0,100,64,2,17716.8
2,0,1,0,1,80,16,2,4991.8
2,0,0,1,1,100,64,2,17865.2
3,1,0,0,0,80,16,0,12250.8
2,0,1,0,0,100,32,2,4684.0
1,0,0,0,1,80,64,0,17738.8
3,0,0,1,0,90,16,0,12150.4
1,1,1,1,1,100,16,2,17689.2
2,1,0,1,1,90,16,0,17665.4
3,0,1,1,1,80,64,0,12124.6
3,0,0,0,0,100,16,2,12257.0
2,1,0,1,1,100,64,0,17688.6
3,1,0,0,0,90,64,2,12094.6
3,1,0,0,1,90,32,0,12088.4
3,0,0,0,1,80,16,2,12372.8
1,1,0,1,1,90,16,0,17721.6
1,1,0,0,1,90,32,2,17695.2
1,1,0,1,0,100,32,2,17782.8
2,1,0,1,0,90,32,2,17696.0
1,1,0,1,0,80,16,0,17882.0
2,0,0,0,1,100,64,2,4681.2
3,0,0,0,1,100,64,2,12116.8
1,0,0,0,1,100,16,0,17694.4
1,1,1,1,1,80,16,2,17693.4
1,1,0,1,1,80,32,2,17750.8
2,0,1,0,1,100,64,0,4627.6
1,0,1,1,0,100,16,2,17721.4
3,0,0,1,0,90,16,2,12286.4
2,0,1,1,0,90,32,0,17702.6
3,1,1,0,1,100,16,2,12275.4
1,0,1,1,0,90,32,0,17775.8
2,0,0,0,1,100,32,0,4706.2
1,1,1,1,1,100,32,0,17786.0
1,1,1,1,0,100,64,2,17721.6
1,0,0,1,1,100,32,2,17790.0
2,1,0,0,1,90,64,0,4671.2
2,1,1,0,0,90,32,0,4685.6
1,1,1,0,0,90,64,0,17733.6
1,1,0,0,0,80,64,2,17770.6
2,0,0,1,1,80,64,2,17684.4
1,1,0,0,0,100,32,2,17838.4
1,1,0,1,1,80,32,0,17780.0
2,1,1,1,0,80,32,0,17671.6
2,0,0,0,1,90,64,0,4681.2
2,0,1,0,0,90,32,0,4682.8
1,1,0,1,1,80,16,0,17771.8
2,1,1,1,1,90,64,0,17713.4
1,0,0,0,0,100,16,2,17678.0
2,1,1,1,0,100,16,0,17640.6
2,1,0,0,0,100,16,2,4927.8
1,1,0,0,0,80,16,0,17701.4
1,1,1,1,1,100,64,2,17848.8
1,0,0,1,1,80,64,0,17753.8
2,0,1,1,0,80,16,0,17635.4
1,1,1,0,0,100,32,0,17752.6
2,1,1,0,0,80,64,0,4713.8
3,0,1,1,1,80,32,2,12221.2
1,1,1,0,0,90,32,0,17753.2
2,0,1,1,1,90,32,0,17633.8
2,1,0,0,1,100,16,0,4919.8
3,1,0,0,0,100,16,0,12351.4
1,0,1,0,1,80,16,2,17689.6
3,1,0,0,0,100,16,2,12345.4
2,1,0,0,1,80,32,0,4723.4
2,1,1,1,1,80,64,2,17630.4
